地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年
北京市,77.2,43.7,67.46,41.95,11.32,12.02,53.98,54.9,54.34,41.47,45,,,,,,,,,
天津市,64.3,58,25.75,24.25,15.99,13.71,16.06,17.09,20.4,19.79,23,,,,,,,,,
河北省,39.9,61,61.66,28.64,18.16,17.91,32.29,17.97,15.59,12.3,22,,,,,,,,,
山西省,112.5,75.1,81.68,108.77,72.17,98.06,82.01,63.77,62.01,22.83,23,,,,,,,,,
内蒙古自治区,33.7,25.8,23.76,15.33,15.35,3.28,2.82,5.24,9.02,5.49,10,,,,,,,,,
辽宁省,31,24.9,31.22,16.5,4.69,4.3,17.44,8.92,10.4,11.75,5,,,,,,,,,
吉林省,21.1,57,30.2,25.31,20.38,18.56,17.71,15.83,13.93,14.43,23,,,,,,,,,
黑龙江省,4.6,4.4,3.46,1.91,1.17,1.19,3.9,2.62,2.53,2.26,2,,,,,,,,,
上海市,14.5,23.2,22.52,21.68,11.6,15.33,84.89,31.8,22.85,19.9,19,,,,,,,,,
江苏省,270.4,424.4,412.41,378.74,325.14,368.23,363.77,278.55,221.72,86.59,131,,,,,,,,,
浙江省,94.9,116.9,98.16,93.28,46.09,40.73,75.34,101.29,68.85,60.79,12,,,,,,,,,
安徽省,81.6,16.1,25.57,11.2,9.95,17.1,97.75,13.21,15.55,17.74,35,,,,,,,,,
福建省,54.1,184.9,49.54,45.18,47.82,47.38,40.31,27.84,32.68,35.9,38,,,,,,,,,
江西省,26.9,19.4,5.91,6.72,6.75,7.62,15.19,11.41,11.1,5.31,6,,,,,,,,,
山东省,13.9,13.2,12.22,16.87,9.53,11.37,18.33,26.5,21.3,15.34,23,,,,,,,,,
河南省,15.6,6.3,8.69,19.26,10.57,9.59,19.93,13.08,24.16,26.45,90,,,,,,,,,
湖北省,67.4,53.5,54.17,34.86,27.14,24.99,34.41,40.72,27.83,25.1,20,,,,,,,,,
湖南省,25.5,33.3,21.94,31.29,25.98,27.61,26.55,38.2,28.23,27.5,28,,,,,,,,,
广东省,29.1,20.8,27.55,22.94,15.23,12.84,37.98,34.36,33.68,51.85,91,,,,,,,,,
广西壮族自治区,27.3,22.9,23.05,22.38,20.55,18.18,23.51,18.44,18.68,16.22,5,,,,,,,,,
海南省,8.3,3.7,4.37,2.46,0.84,0.73,3.67,6.23,3.87,1.55,1,,,,,,,,,
重庆市,6.2,0.8,1.16,1.44,0.6,0.55,3.38,137.29,29.38,26.64,19,,,,,,,,,
四川省,12.4,12,9.04,10.72,1.89,3.73,31.63,13.34,12.37,13.01,11,,,,,,,,,
贵州省,0.6,0.4,5.96,0.06,0.03,,0.62,0.66,0.65,0.76,,,,,,,,,,
云南省,3.6,6.1,10.71,11.83,1,1.32,15.44,8.09,9.01,9.02,12,,,,,,,,,
西藏自治区,0.1,0.6,0.18,0.35,0.34,0.45,1.43,4.1,3.52,0.68,1,,,,,,,,,
陕西省,29.1,20.2,8.58,12.63,8.14,8.19,9.82,8.65,5.05,5.66,10,,,,,,,,,
甘肃省,35.8,26.3,25.82,14.06,15.96,4.22,5.79,1.71,2.67,4.08,4,,,,,,,,,
青海省,2.4,2.8,2.8,2.03,1.92,4.02,6.81,5.6,7.2,6.13,2,,,,,,,,,
宁夏回族自治区,1.1,0.9,0.9,0.49,0.58,0.5,0.35,0.09,1.61,1.41,1,,,,,,,,,
新疆维吾尔自治区,60.3,60.1,36.52,40.17,32.38,34.78,42.94,32.15,20.44,17.9,28,,,,,,,,,
