地区,名称,地址,级别
安徽,安徽博物院,安徽省合肥市庐阳区怀宁路268号（新馆），合肥市安庆路268号（老馆）,国家一级
安徽,安庆市博物馆,安徽省安庆市迎江区湖心中路6-2号,国家二级
安徽,淮北市博物馆,安徽省淮北市博物馆路1号,国家二级
安徽,淮南市博物馆,安徽省淮南市洞山中路15号,国家二级
安徽,新四军军部旧址纪念馆,安徽省宣城市泾县云岭镇罗里村,国家二级
安徽,渡江战役纪念馆,安徽省合肥市包河区云谷路299号,无级别
安徽,安徽中国徽州文化博物馆,安徽省屯溪区迎宾大道50号,国家一级
安徽,安徽中国黄梅戏博物馆,安徽省安庆市迎江区菱湖南路102号,国家二级
安徽,寿县博物馆,安徽省淮南市寿县寿春镇大街,国家二级
安徽,安徽祁红博物馆,安徽省祁门县华扬工业园区,国家二级
安徽,亳州市博物馆,安徽省亳州市谯城区芍花大道 209号,国家三级
安徽,李鸿章故居陈列馆,安徽省合肥市庐阳区淮河路208号,国家三级
安徽,宿州市博物馆,安徽省宿州市埇桥区通济一路8号,国家三级
安徽,巢湖市博物馆,安徽省合肥市巢湖市放王岗,国家三级
安徽,合肥科技馆,安徽省合肥市蜀山区黄山路446号,无级别
安徽,安徽名人馆,安徽省合肥市蜀山区西郊玉兰大道8号,无级别
安徽,安徽省源泉徽文化民俗博物馆,安徽省合肥市蜀山区科学院路现代农业示范园1号,无级别
安徽,子木园博物馆,安徽省合肥市蜀山区科学岛路现代农业示范园,无级别
安徽,渡江战役总前委旧址纪念馆,安徽省合肥市肥东县撮镇瑶岗村肥东渡江战役总前委旧址,国家三级
安徽,合肥市巢湖艺术馆,安徽省巢湖市健康东路11号,无级别
安徽,巢湖三友堂民俗馆,安徽省合肥市巢湖市银屏路79号,无级别
安徽,刘铭传旧居,安徽省合肥市肥西县城西37公里紫蓬山大潜山北麓井王店北刘老圩,无级别
安徽,黄山区博物馆,安徽省黄山市黄山区太平东路20号,国家三级
安徽,马鞍山市博物馆,安徽省马鞍山市雨山区太白大道2006—1号,国家三级
安徽,马鞍山市朱然家族墓地博物馆,安徽省马鞍山市雨山区朱然路3号,国家三级
安徽,天长市博物馆,安徽省滁州市天长市石梁西路131号,国家三级
安徽,金寨县革命博物馆,安徽省六安市金寨县梅山镇红村路35号,国家三级
安徽,潜山县博物馆,安徽省安庆市潜山市梅城镇皖光苑路28号,国家三级
安徽,桐城市博物馆,安徽省桐城市铜官区龙眠中路2号,国家三级
安徽,铜陵市博物馆,安徽省铜陵市铜官区学院路477号,国家三级
安徽,宣城市博物馆,安徽省宣城市宣州区叠嶂东路府山广场,国家三级
安徽,淮海战役总前委和华东野战军指挥部旧址,安徽省宿州市萧县丁里镇蔡洼村,国家三级
安徽,广德县博物馆,安徽省宣城市广德县桐汭西路青少年活动中心三楼,国家三级
安徽,淮北市刘开渠纪念馆,安徽省淮北市相山区相山北路2号,国家三级
安徽,萧县博物馆,安徽省宿州市萧县龙城镇民治街68号,国家三级
安徽,阜阳市博物馆,安徽省阜阳市颍州区清河东路339号,国家三级
安徽,池州市秀上门博物馆,安徽省池州市贵池区杏村西路302号,国家三级
安徽,歙县博物馆,安徽省黄山市歙县披云路10号,国家三级
安徽,祁门县博物馆,安徽省黄山市祁门县文峰南路,国家三级
安徽,德化堂古床博物馆,安徽省马鞍山市雨山区康乐路51号2,无级别
安徽,铜陵市国盛民俗博物馆,安徽省铜陵市经济开发区翠湖五路18号,无级别
安徽,华夏丝绸博物馆（阜阳),安徽省阜阳市颍州区经济技术开发区新安大道76号,无级别
安徽,黄山麟圣博物馆,安徽省黄山市休宁县兰田镇,无级别
安徽,黄山徽茶文化博物馆,安徽省黄山市徽州区迎宾大道118号,无级别
安徽,黄山市徽州糕饼博物馆,安徽省黄山市屯溪区迎宾大道38号,无级别
安徽,涡阳县老子博物馆,安徽省毫州市涡阳县闸北镇郑店村天静宫东侧,无级别
安徽,泾县王稼祥故居纪念馆,安徽省宣城市泾县桃花潭镇厚岸村,无级别
安徽,绩溪县博物馆,安徽省宣城市绩溪县华阳镇良安路100号,无级别
安徽,青阳县博物馆,安徽省池州市青阳县蓉城镇公园路113号,无级别
安徽,池州市博物馆,安徽省池州市贵池区池阳路229号,无级别
安徽,王稼祥纪念园,安徽省芜湖市镜湖区中山北路23号,无级别
安徽,孙叔敖纪念馆,安徽省淮南市寿县安丰塘镇,无级别
安徽,吴敬梓纪念馆,安徽省滁州市全椒县河湾街88号,无级别
安徽,岩寺新四军军部旧址纪念馆,安徽省黄山市徽州区岩寺滨河南路39号,无级别
安徽,黄山市屯溪区戴震纪念馆,安徽省黄山市屯溪区老街立新巷1号,无级别
安徽,淮南市大通万人坑教育馆,安徽省淮南市大通区原大通矿南（南山路）,无级别
安徽,含山博物馆,安徽省马鞍山市含山县环峰镇清溪路东侧,无级别
安徽,皖西博物馆,安徽省六安市金安区佛子岭中路市行政中心东侧,无级别
安徽,李克农故居,安徽省合肥市巢湖市烔炀镇中李村,无级别
安徽,歙县徽派版画博物馆,安徽省歙县徽城镇七里头徽州艺术品市场16幢,无级别
安徽,黄山风景区博物馆,安徽省黄山风景区慈光阁博物馆,无级别
安徽,九河博物馆,安徽省蚌埠市五河县沱湖小区15排,无级别
安徽,金馈博物馆,安徽省蚌埠市花鼓灯嘉年华7号楼,无级别
安徽,三河民俗博物馆,安徽省肥西县三河镇南街,无级别
安徽,安徽福光艺术博物馆,安徽省合肥市大连路6号,无级别
安徽,燕诒博物馆,安徽省合肥科学岛路农业示范园内,无级别
安徽,黄山古典家具博物馆,安徽省黟县宏村镇龙江村,无级别
安徽,黄山徽明坊古典家具博物馆,安徽省黄山市徽州区惠兴路9号,无级别
安徽,黄山太平猴魁博物馆,安徽省黄山工业园区,无级别
安徽,古井酒文化博物馆,安徽省亳州市谯城区古井镇,无级别
安徽,淮北市钟源阁红色文化博物馆,安徽省相山区国际商城步行街9幢101、102、201、202,无级别
安徽,广德县皖南朝晖竹木雕刻博物馆,安徽省广德县彩虹桥滨河公园东岸,无级别
安徽,芜湖丫山地质博物馆,安徽省芜湖市南陵县何湾镇丫山街道,无级别
安徽,芜湖市徽商博物馆,安徽省芜湖市九华中路151号,无级别
安徽,六安市玉石奇石博物馆,安徽省六安市长安南路行政中心金皖西和谐园一楼,无级别
安徽,安徽缘酒文化博物馆,安徽省安庆市枞阳县陈瑶湖镇黄酒园,无级别
安徽,徽萃山林博物馆,安徽省舒城县万佛湖风景区,无级别
安徽,迎驾酒文化博物馆,安徽省皖霍山县佛子岭镇,无级别
安徽,文德堂艺术博物馆,安徽省阜阳市经济技术开发区永安花园,无级别
安徽,临泉毛笔博物馆,安徽省阜阳市临泉县谭棚镇变电所东,无级别
安徽,祁门红茶博物馆,安徽省祁门县五里牌,无级别
安徽,黄山民间工艺艺术博物馆,安徽省黟县碧阳大道83号,无级别
安徽,黟县茶博物馆,安徽省黟县城南新区（黟县茶城）,无级别
安徽,万春博物馆,安徽省黟县宏村镇粮站内,无级别
安徽,金星民间博物馆,安徽省黟县县城翼然路,无级别
安徽,安徽万安罗经文化博物馆,安徽省休宁县万安镇上街70号,无级别
安徽,见明堂民俗博物馆,安徽省休宁县新城区齐云丽庭2-26号,无级别
安徽,徽州雕艺博物馆,安徽省黄山市歙县徽园38号,无级别
